state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
AL,179000.0,1013,12382000.0,2382000.0,21.28,15029000.0,30075
AR,552000.0,1109,42156000.0,14890000.0,16.38,40266000.0,30075
AZ,505000.0,901,30484000.0,13155000.0,17.02,31677000.0,30075
CA,6100000.0,837,347535000.0,96807000.0,17.0,365390000.0,30075
CO,420000.0,942,26259000.0,12229000.0,18.44,31354000.0,30075
FL,2928000.0,1246,247048000.0,33144000.0,16.51,249229000.0,30075
GA,906000.0,820,49499000.0,5284000.0,17.78,58013000.0,30075
HI,131000.0,1470,12647000.0,2553000.0,25.65,21063000.0,30075
IA,472000.0,986,31200000.0,16949000.0,19.81,38825000.0,30075
ID,1491000.0,660,66160000.0,28139000.0,17.07,71431000.0,30075
IL,121000.0,925,7475000.0,3149000.0,32.09,15113000.0,30075
IN,119000.0,914,7260000.0,3039000.0,22.89,10358000.0,30075
KS,189000.0,841,10619000.0,5238000.0,21.189999999999998,13861000.0,30075
KY,66000.0,782,3445000.0,704000.0,31.24,7199000.0,30075
LA,565000.0,1436,54410000.0,8156000.0,15.81,54303000.0,30075
MD,28000.0,270,1266000.0,291000.0,9.37,1833000.0,12003
ME,126000.0,466,3701000.0,1445000.0,21.48,5067000.0,30075
MI,1067000.0,1022,72820000.0,34434000.0,18.48,86804000.0,30075
MN,1934000.0,1114,144360000.0,32787000.0,17.28,157850000.0,30075
MO,235000.0,801,13073000.0,3049000.0,20.67,14768000.0,30075
MS,252000.0,1312,21853000.0,4718000.0,15.88,24252000.0,30075
MT,2040000.0,1160,156562000.0,47950000.0,17.259999999999998,176903000.0,30075
NC,171000.0,717,8141000.0,1898000.0,31.11,17158000.0,30075
ND,5555000.0,1321,475085000.0,132898000.0,16.88,545642000.0,30075
NE,695000.0,1012,47379000.0,25340000.0,17.59,52895000.0,30075
NJ,164000.0,554,5993000.0,1722000.0,22.64,9105000.0,30075
NM,131000.0,808,7147000.0,3524000.0,19.77,8208000.0,30075
NV,108000.0,497,4832000.0,1611000.0,24.41,10669000.0,22033
NY,846000.0,1037,59062000.0,26617000.0,20.42,75063000.0,30075
OH,242000.0,953,15601000.0,6500000.0,23.86,23282000.0,30075
OK,27000.0,278,1207000.0,401000.0,8.74,1711000.0,12003
OR,729000.0,666,31821000.0,16183000.0,18.79,39349000.0,30075
PA,386000.0,756,19434000.0,8328000.0,22.82,27745000.0,30075
SC,16000.0,204,1030000.0,89000.0,3.9299999999999997,1338000.0,6006
SD,3544000.0,1137,266141000.0,131494000.0,17.1,290651000.0,30075
TN,108000.0,845,6116000.0,1468000.0,28.41,11399000.0,30075
TX,1478000.0,1058,104904000.0,20520000.0,16.72,111438000.0,30075
UT,380000.0,698,17686000.0,4615000.0,17.5,20165000.0,30075
VA,99000.0,603,3998000.0,1004000.0,34.800000000000004,8583000.0,30075
VT,85000.0,1004,5821000.0,2284000.0,23.78,8435000.0,30075
WA,835000.0,732,40316000.0,16653000.0,18.72,49787000.0,30075
WI,1022000.0,1191,81833000.0,42726000.0,19.08,97706000.0,30075
WV,98000.0,728,4818000.0,2006000.0,27.52,8289000.0,30075
WY,593000.0,992,39269000.0,7233000.0,17.22,42848000.0,30075
